status	sim_number	correlations_list_loops
natural	0	0.7556496752620628
natural	1	0.758063621173424
natural	2	0.7604477069438282
natural	3	0.747191231604904
natural	4	0.7939294815081186
natural	5	0.7862205711894071
natural	6	0.7560207798754426
natural	7	0.7714050590202273
natural	8	0.7585040400269119
natural	9	0.7893661184753195
natural	10	0.7382440716812044
natural	11	0.7246587996158493
natural	12	0.7307733817389507
natural	13	0.7472512046954825
natural	14	0.7603463291779924
natural	15	0.7357485065966868
natural	16	0.7622421443217515
natural	17	0.7648017242231734
natural	18	0.7383035763486768
natural	19	0.7712204502601154
natural	20	0.7439614539629913
natural	21	0.7750095273397059
natural	22	0.7836711453971084
natural	23	0.7544581285338893
natural	24	0.7655256543654005
natural	25	0.7370514627455309
natural	26	0.7544673454840451
natural	27	0.7540554507244198
natural	28	0.7621561937993238
natural	29	0.8004196606648454
natural	30	0.762277637007887
natural	31	0.7517721097885858
natural	32	0.7461842858555129
natural	33	0.753464915961782
natural	34	0.7621479591638124
natural	35	0.7549539877971425
natural	36	0.7881830212136959
natural	37	0.7813356621080843
natural	38	0.7480331652770228
natural	39	0.7492293485266533
natural	40	0.748687990893599
natural	41	0.7982452915062628
natural	42	0.7727980184894119
natural	43	0.7798762851856014
natural	44	0.732675164317094
natural	45	0.7698901178848887
natural	46	0.7447329980863999
natural	47	0.7571716895915911
natural	48	0.7852145366029387
natural	49	0.776570955466834
modified	0	0.7297172390293977
modified	1	0.6916008651023621
modified	2	0.7256728832103944
modified	3	0.7062310528102658
modified	4	0.7007589180812636
modified	5	0.7061038221213973
modified	6	0.7185293281499874
modified	7	0.725508272060369
modified	8	0.7100638799786742
modified	9	0.7632007281202449
modified	10	0.7176293916173887
modified	11	0.6880246913263056
modified	12	0.7310285843028438
modified	13	0.6936560970085224
modified	14	0.7238794975556182
modified	15	0.6733491186412527
modified	16	0.7334711564411547
modified	17	0.718553101372837
modified	18	0.7128111140310572
modified	19	0.7311377775801078
modified	20	0.7408884160107827
modified	21	0.7150734678145232
modified	22	0.7242318300194586
modified	23	0.7236656579017265
modified	24	0.7259944442967733
modified	25	0.7404477028037333
modified	26	0.7157012656601228
modified	27	0.7009794263171476
modified	28	0.7248913478708993
modified	29	0.669933143849586
modified	30	0.7021744718444647
modified	31	0.704419903789898
modified	32	0.7067611202540431
modified	33	0.7654200168254361
modified	34	0.7153426921748671
modified	35	0.6788805057910968
modified	36	0.7299232240244728
modified	37	0.7270036564905825
modified	38	0.7149546402944199
modified	39	0.6917043176117971
modified	40	0.7154947903304104
modified	41	0.6823441474114497
modified	42	0.68868321419996
modified	43	0.7406906850695308
modified	44	0.7182634311335592
modified	45	0.7332610282243497
modified	46	0.7301567983314918
modified	47	0.6360093901667289
modified	48	0.713686295529746
modified	49	0.7314352557494345
