status	sim_number	correlations_list_loops
natural	0	0.4284728112371182
natural	1	0.23126749558664147
natural	2	0.39021201915811843
natural	3	0.23585331006404195
natural	4	0.22761281526440671
natural	5	0.41244442796142083
natural	6	0.35752558508741056
natural	7	0.35149255215517144
natural	8	0.5346364368591588
natural	9	0.43110152679315655
natural	10	0.12030393388840765
natural	11	0.2594395976485909
natural	12	0.48379924881092035
natural	13	0.3390374352819749
natural	14	0.19377377661444609
natural	15	0.4271656276208719
natural	16	0.15889548183477809
natural	17	0.2694931084874919
natural	18	0.4276777564767829
natural	19	0.28766800914502777
natural	20	0.2924209176535001
natural	21	0.37175023679822566
natural	22	0.4107030449634039
natural	23	0.14440203211333458
natural	24	0.30593912226287456
natural	25	0.22027435554229818
natural	26	0.19823229705404935
natural	27	0.4227033388055706
natural	28	0.20951661165726382
natural	29	0.2100078190031337
natural	30	0.2959421492401574
natural	31	0.3711471740526571
natural	32	0.2968528676806189
natural	33	0.19926544772129973
natural	34	0.32391613777888034
natural	35	0.2209436469430344
natural	36	0.21414281897094697
natural	37	0.24109605525705657
natural	38	0.36474010433930754
natural	39	0.34169388080511487
natural	40	0.3836854858588089
natural	41	0.47452686060831084
natural	42	0.31281527917851987
natural	43	0.27899819685097843
natural	44	0.35072978749761935
natural	45	0.27575432102108416
natural	46	0.3409886890727595
natural	47	0.3950632974093556
natural	48	0.5127641866921894
natural	49	0.3319437697021827
modified	0	0.08956418635698664
modified	1	0.18446224117764112
modified	2	0.069162667080057
modified	3	0.3983544320380833
modified	4	0.4287375009572274
modified	5	0.27576951232500574
modified	6	0.2783373055806662
modified	7	0.40407396714352534
modified	8	0.20743279799474382
modified	9	0.3786896111901212
modified	10	0.24802315132310088
modified	11	0.3976555822983647
modified	12	0.573395123891739
modified	13	0.09391653103431019
modified	14	0.3151571959675009
modified	15	0.25773786332529114
modified	16	0.5184556886067219
modified	17	0.2972504197581949
modified	18	0.3783710319391836
modified	19	0.29730075880889195
modified	20	0.4086696752201923
modified	21	0.3626384990488134
modified	22	0.379527363172319
modified	23	0.41328046904455534
modified	24	0.46022201010982194
modified	25	0.3421159643333215
modified	26	0.27802386101045423
modified	27	0.1446717479089596
modified	28	0.2441960918245011
modified	29	0.3188133500982139
modified	30	0.3662173749188321
modified	31	0.24263389148513373
modified	32	0.37239116222825364
modified	33	0.24542241715965302
modified	34	0.39738087904423125
modified	35	0.5786629717105894
modified	36	0.31781794900528343
modified	37	0.41160465582820965
modified	38	0.4668990571705328
modified	39	0.16148757357680404
modified	40	0.19466443662885075
modified	41	0.4005879107380125
modified	42	0.19290457541307318
modified	43	0.5271155817920042
modified	44	0.17607103020563122
modified	45	0.45339171861613914
modified	46	0.33806901189501415
modified	47	-0.04822823034197053
modified	48	0.2841573447281792
modified	49	0.171510670350016
