	loop_tm_correlations	sim_number	fw_tm_correlations	fw_start_points	fw_lengths	fw_regions
0	0.7515005541351105	0	0.4796283146441301	[1, 48, 78, 123, 162, 182]	[13, 7, 7, 5, 8, 12]	[[1, 13], [48, 54], [78, 84], [123, 127], [162, 169], [182, 193]]
1	0.8108325952501082	1	0.48079422157956886	[3, 25, 79, 102, 162, 194]	[8, 7, 12, 13, 7, 5]	[[3, 10], [25, 31], [79, 90], [102, 114], [162, 168], [194, 198]]
2	0.7444235458035215	2	0.6317600184859621	[0, 29, 82, 99, 162, 193]	[7, 5, 7, 13, 8, 12]	[[0, 6], [29, 33], [82, 88], [99, 111], [162, 169], [193, 204]]
3	0.768272383234097	3	0.5601511546733364	[0, 33, 81, 118, 161, 199]	[12, 7, 5, 13, 7, 8]	[[0, 11], [33, 39], [81, 85], [118, 130], [161, 167], [199, 206]]
4	0.7692086489023353	4	0.5862675748686474	[2, 36, 82, 121, 163, 218]	[7, 12, 5, 8, 7, 13]	[[2, 8], [36, 47], [82, 86], [121, 128], [163, 169], [218, 230]]
5	0.7525540175032511	5	0.15200248766958602	[0, 39, 78, 133, 161, 187]	[12, 7, 13, 5, 8, 7]	[[0, 11], [39, 45], [78, 90], [133, 137], [161, 168], [187, 193]]
6	0.7661388219626757	6	0.6092271050411666	[3, 30, 77, 135, 161, 191]	[7, 12, 13, 5, 8, 7]	[[3, 9], [30, 41], [77, 89], [135, 139], [161, 168], [191, 197]]
7	0.7672285763683503	7	0.6929410793819731	[1, 42, 77, 102, 161, 218]	[7, 13, 12, 7, 8, 5]	[[1, 7], [42, 54], [77, 88], [102, 108], [161, 168], [218, 222]]
8	0.7379009755008811	8	0.5996899770912654	[2, 40, 86, 131, 163, 189]	[8, 7, 5, 13, 7, 12]	[[2, 9], [40, 46], [86, 90], [131, 143], [163, 169], [189, 200]]
9	0.773919137894999	9	0.6097963717092321	[0, 53, 78, 118, 162, 218]	[12, 7, 13, 7, 8, 5]	[[0, 11], [53, 59], [78, 90], [118, 124], [162, 169], [218, 222]]
10	0.7359013971498564	10	0.13995380037736893	[5, 45, 77, 115, 163, 204]	[5, 7, 12, 8, 7, 13]	[[5, 9], [45, 51], [77, 88], [115, 122], [163, 169], [204, 216]]
11	0.7750504964964784	11	0.6487528513166748	[6, 44, 78, 137, 161, 201]	[7, 7, 12, 5, 8, 13]	[[6, 12], [44, 50], [78, 89], [137, 141], [161, 168], [201, 213]]
12	0.7628380837492906	12	0.47205941510296245	[2, 45, 77, 141, 161, 207]	[7, 8, 13, 7, 5, 12]	[[2, 8], [45, 52], [77, 89], [141, 147], [161, 165], [207, 218]]
13	0.7508080548707395	13	0.5187559998982149	[2, 58, 77, 122, 162, 190]	[7, 5, 13, 7, 8, 12]	[[2, 8], [58, 62], [77, 89], [122, 128], [162, 169], [190, 201]]
14	0.7582456847835228	14	0.31076150076339626	[2, 47, 77, 106, 162, 209]	[12, 8, 13, 5, 7, 7]	[[2, 13], [47, 54], [77, 89], [106, 110], [162, 168], [209, 215]]
15	0.7795004825883999	15	0.5632502499236807	[0, 43, 77, 141, 162, 191]	[12, 7, 8, 7, 5, 13]	[[0, 11], [43, 49], [77, 84], [141, 147], [162, 166], [191, 203]]
16	0.7747093113983534	16	0.5487523578483923	[0, 37, 78, 105, 161, 184]	[13, 7, 12, 7, 8, 5]	[[0, 12], [37, 43], [78, 89], [105, 111], [161, 168], [184, 188]]
17	0.7466463361685584	17	0.4313535622666014	[1, 51, 84, 107, 161, 197]	[13, 5, 7, 12, 8, 7]	[[1, 13], [51, 55], [84, 90], [107, 118], [161, 168], [197, 203]]
18	0.7773227307625581	18	0.6040906333871243	[0, 31, 78, 112, 161, 216]	[7, 5, 13, 7, 8, 12]	[[0, 6], [31, 35], [78, 90], [112, 118], [161, 168], [216, 227]]
19	0.75511893854033	19	0.6974487954415334	[3, 24, 77, 128, 163, 196]	[8, 7, 12, 13, 5, 7]	[[3, 10], [24, 30], [77, 88], [128, 140], [163, 167], [196, 202]]
20	0.777871457365184	20	0.5963924755624253	[5, 32, 78, 130, 161, 212]	[7, 13, 8, 5, 7, 12]	[[5, 11], [32, 44], [78, 85], [130, 134], [161, 167], [212, 223]]
21	0.7424546522699965	21	0.7539541368896955	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
22	0.7541923671737982	22	0.7449096888746938	[0, 21, 79, 122, 161, 192]	[13, 7, 12, 5, 7, 8]	[[0, 12], [21, 27], [79, 90], [122, 126], [161, 167], [192, 199]]
23	0.7700118144444829	23	0.47201849832105897	[0, 30, 77, 105, 161, 208]	[13, 5, 8, 12, 7, 7]	[[0, 12], [30, 34], [77, 84], [105, 116], [161, 167], [208, 214]]
24	0.7645574552131091	24	0.5233473544996504	[1, 37, 77, 113, 161, 192]	[12, 7, 8, 13, 7, 5]	[[1, 12], [37, 43], [77, 84], [113, 125], [161, 167], [192, 196]]
