sim_number	current_loop	loop_tm_correlations
0	1	-0.3568432402469252
1	1	0.30678840323125356
2	1	0.040223709207885545
3	1	-0.09330196286159956
4	1	-0.09814435817609433
5	1	-0.16835726740818943
6	1	0.08537997370779686
7	1	-0.102658471756567
8	1	-0.29519525080206754
9	1	0.17191152138583804
10	1	-0.025955304318238365
11	1	0.30747602420822806
12	1	0.03959218492270092
13	1	0.19287919160419298
14	1	0.08815540911082242
15	1	-0.15096226393151757
16	1	0.27795809564093976
17	1	-0.017305679705141606
18	1	-0.09953615080485888
19	1	-0.22451969557629145
20	1	-0.31777202369741864
21	1	-0.22025291307753722
22	1	-0.01689893192411443
23	1	0.1480253891865984
24	1	-0.12716126386283044
25	1	-0.21654038668216638
26	1	-0.16768471574094101
27	1	-0.27629730689598914
28	1	0.13425820603131008
29	1	-0.16282176273161592
30	1	-0.01458234137013324
31	1	0.1500219761563339
32	1	0.13739184839069907
33	1	-0.02880238315256632
34	1	0.05171387757389135
35	1	-0.02059312925132288
36	1	-0.1886353247096352
37	1	0.0876399804282123
38	1	0.25019030487818994
39	1	-0.002973304234294928
40	1	-0.23538787009525725
41	1	0.18199521055671222
42	1	-0.08307879727191383
43	1	0.19119292140710994
44	1	0.1325804317111549
45	1	-0.25269402255120654
46	1	0.10852598511050665
47	1	-0.18470248861267904
48	1	-0.15043586625959393
49	1	-0.1762738521515916
0	2	0.37389438388280205
1	2	0.37167456971723367
2	2	0.3777195856514877
3	2	0.3805578373526313
4	2	0.38561411613381136
5	2	0.35872604237039074
6	2	0.37320931514142985
7	2	0.37297688876199653
8	2	0.37233904669400447
9	2	0.38720980365585334
10	2	0.3863412965638148
11	2	0.3795780760311525
12	2	0.3692262704676544
13	2	0.3787236738157625
14	2	0.33380531580779815
15	2	0.38430754071375406
16	2	0.3573244990540618
17	2	0.3545412359273957
18	2	0.36809951153073284
19	2	0.36717077985500135
20	2	0.37158298881022556
21	2	0.3596830215111564
22	2	0.3703719550891577
23	2	0.3709906174726465
24	2	0.377946310001402
25	2	0.36895534569608096
26	2	0.3733593131972325
27	2	0.388759098062733
28	2	0.36131240231095396
