sim_number	fw_tm_correlations	fw_start_points	fw_lengths	fw_regions	loop_tm_correlations
0	0.5819178681583113	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7515005541351105
1	0.5571710296787724	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.8108325952501082
2	0.5558167467848971	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7444235458035215
3	0.5553764907988235	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.768272383234097
4	0.5674639855985334	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7692086489023353
5	0.5930568074002682	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7525540175032511
6	0.5998260272248125	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7661388219626757
7	0.5366889897308608	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7672285763683503
8	0.5332765204504345	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7379009755008811
9	0.5678263964152953	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.773919137894999
10	0.6014465800243923	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7359013971498564
11	0.6153867325544428	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7750504964964784
12	0.5532960051858333	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7628380837492906
13	0.5855774618526565	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7508080548707395
14	0.5507752258668259	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7582456847835228
15	0.5972845275807804	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7795004825883999
16	0.585644830063656	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7747093113983534
17	0.5974122968361933	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7466463361685584
18	0.5891506005098885	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7773227307625581
19	0.5811983170113885	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.75511893854033
20	0.6054976068247397	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.777871457365184
