current_loop	sim_number	fw_tm_correlations	fw_start_points	fw_lengths	fw_regions	loop_order
1	0	0.19726746014835156	[1, 48, 78, 123, 162, 182]	[13, 7, 7, 5, 8, 12]	[[1, 13], [48, 54], [78, 84], [123, 127], [162, 169], [182, 193]]	[2 6 1 4 3 5]
1	1	0.5661673661918735	[0, 36, 77, 108, 163, 191]	[12, 7, 13, 8, 5, 7]	[[0, 11], [36, 42], [77, 89], [108, 115], [163, 167], [191, 197]]	[5 1 2 3 4 6]
1	2	0.5023718357005912	[2, 50, 77, 127, 164, 208]	[12, 7, 7, 13, 5, 8]	[[2, 13], [50, 56], [77, 83], [127, 139], [164, 168], [208, 215]]	[5 1 6 2 4 3]
1	3	0.7230068783392885	[3, 52, 77, 119, 161, 208]	[7, 5, 13, 8, 7, 12]	[[3, 9], [52, 56], [77, 89], [119, 126], [161, 167], [208, 219]]	[1 4 2 3 6 5]
1	4	-0.27129298678403885	[0, 45, 77, 117, 161, 217]	[13, 5, 12, 8, 7, 7]	[[0, 12], [45, 49], [77, 88], [117, 124], [161, 167], [217, 223]]	[2 4 5 3 6 1]
1	5	0.3776597348071172	[6, 36, 82, 143, 161, 198]	[5, 12, 7, 7, 8, 13]	[[6, 10], [36, 47], [82, 88], [143, 149], [161, 168], [198, 210]]	[4 5 6 1 3 2]
1	6	0.14723976830048724	[5, 41, 78, 137, 161, 183]	[8, 5, 7, 13, 7, 12]	[[5, 12], [41, 45], [78, 84], [137, 149], [161, 167], [183, 194]]	[3 4 6 2 1 5]
1	7	0.3406011205425462	[1, 31, 78, 142, 161, 192]	[12, 8, 7, 5, 7, 13]	[[1, 12], [31, 38], [78, 84], [142, 146], [161, 167], [192, 204]]	[5 3 1 4 6 2]
1	8	-0.07867079294416612	[7, 38, 84, 121, 164, 203]	[7, 12, 7, 8, 5, 13]	[[7, 13], [38, 49], [84, 90], [121, 128], [164, 168], [203, 215]]	[6 5 1 3 4 2]
1	9	0.16477934543136513	[5, 32, 78, 140, 162, 217]	[7, 12, 8, 13, 7, 5]	[[5, 11], [32, 43], [78, 85], [140, 152], [162, 168], [217, 221]]	[6 5 3 2 1 4]
1	10	-0.09301890019818915	[1, 31, 82, 113, 161, 218]	[13, 7, 8, 7, 5, 12]	[[1, 13], [31, 37], [82, 89], [113, 119], [161, 165], [218, 229]]	[2 6 3 1 4 5]
1	11	0.27594764102745206	[3, 33, 78, 110, 162, 185]	[7, 5, 12, 13, 8, 7]	[[3, 9], [33, 37], [78, 89], [110, 122], [162, 169], [185, 191]]	[6 4 5 2 3 1]
1	12	0.7644084268382038	[6, 28, 84, 111, 161, 209]	[7, 12, 7, 13, 8, 5]	[[6, 12], [28, 39], [84, 90], [111, 123], [161, 168], [209, 213]]	[1 5 6 2 3 4]
1	13	0.7600857646609731	[7, 27, 78, 113, 162, 191]	[7, 5, 13, 12, 7, 8]	[[7, 13], [27, 31], [78, 90], [113, 124], [162, 168], [191, 198]]	[1 4 2 5 6 3]
1	14	0.21670602223558602	[2, 32, 77, 125, 162, 204]	[8, 7, 13, 12, 7, 5]	[[2, 9], [32, 38], [77, 89], [125, 136], [162, 168], [204, 208]]	[3 1 2 5 6 4]
1	15	0.15751174664361187	[0, 44, 77, 130, 162, 186]	[12, 7, 13, 5, 8, 7]	[[0, 11], [44, 50], [77, 89], [130, 134], [162, 169], [186, 192]]	[5 6 2 4 3 1]
1	16	0.7771375524692987	[7, 32, 82, 138, 162, 216]	[7, 8, 7, 13, 5, 12]	[[7, 13], [32, 39], [82, 88], [138, 150], [162, 166], [216, 227]]	[1 3 6 2 4 5]
1	17	-0.18989365805485744	[2, 26, 79, 133, 163, 206]	[12, 8, 7, 7, 5, 13]	[[2, 13], [26, 33], [79, 85], [133, 139], [163, 167], [206, 218]]	[5 3 6 1 4 2]
1	18	-0.1809433174043894	[3, 55, 77, 128, 162, 183]	[7, 5, 12, 7, 8, 13]	[[3, 9], [55, 59], [77, 88], [128, 134], [162, 169], [183, 195]]	[6 4 5 1 3 2]
1	19	0.19478125191522933	[3, 40, 78, 134, 161, 190]	[7, 8, 7, 12, 5, 13]	[[3, 9], [40, 47], [78, 84], [134, 145], [161, 165], [190, 202]]	[6 3 1 5 4 2]
